编号,场景,文案,图片url,音频url,视频url,用户id
40001,4401,"我最喜欢的一句歌词仍然是“以泥土的香气当作伴手礼，爬上通云霄的天梯”。
我是2021年高考的，大一的一整年都沉浸在高考失利的痛苦中。读到这句歌词时我就知道，它是为我而来的，它也因此成为我使用多年的微信个性签名。高考失利并不是人生的结束，我也真的在这句歌词的鼓励下成功做到了，保研到C9读硕士。希望我能在这句歌词的鼓舞下申请到top2的博士吧，毕竟野心勃勃从来不是贬义词，不是吗",,,,悄悄很安静
40002,4401,坠落也是我的作品,,,,奇衡三
40003,4401,“如果可以我还是希望你在场” 想到底看看未来刘恋的歌会不会石破天惊！所以要在场并等待结果。,,,,恰逢在场-
40004,4401,赤橙黄绿/折射世间的悲喜/说起昨夜一场好雨,,,,飞行器
40005,4401,“多么希望这一刻能够就此停留 既然无法停留别留恋别回头”,,,,0_Yuzz
40006,4401,那些爱过我的人都慢慢退场  随手带走我们收藏的时光     当我经过了一些生离死别后，我才真正的读懂这句歌词，时光不是永恒的，但我们努力的去记忆美好的时刻，那么爱过我的人也依旧在我们身边,,,,燊一_
40007,4401,如果拥抱过后热情还没退场 也许我们可以爱出点名堂,,,,勤劳的猪啊
40008,4401,好难选，我再选选……,,,,我的猫儿黄白身子金镶玉
40009,4401,“晚风会呢喃 古老的低语 庆祝我完整的命运”听到这句歌词的时候正处于人生低谷期 家庭变故加上备考压力 一度让我无力还手 但是这句歌词给了我面对的勇气和决心 “我偏要庆祝我的命运”,,,,敦敦是个小太阳
40010,4401,＂我知道永恒说来是有点荒唐，可你让我又忍不住往那想。＂,,,,Salute
40011,4401,“我肥沃的土地，不种玫瑰也可以种苍山和野菊”这句话恋恋在采访里也分享过，觉得是一句很有态度，在无奈的生活里也不要归训自己的一句话,,,,卡卡罗轩
40012,4401,“日落之前，请你与我共舞。”我一直觉得在青春还在的时候畅想生命日薄西山时跳舞很浪漫，十个字我好像就看见了两个幸福的人的剪影和她们身后金色的夕阳。这是一种特别刘恋的对生命自信，她好像永远相信自己会幸福，从灿烂的一死了之也不可惜的27岁到还在跳着舞的72岁，给人一种日子放在她手里过怎么都不会太差的安心感。每每听到这一句我都觉得好幸福。,,,,初霁之阳
40013,4401,“管它什么规矩，你要有爱的勇气”,,,,小叽不哈气
40014,4401,太多了...不是我博爱，是刘恋的词写的实在太好了...,,,,是馨鸭
40015,4401,“我肥沃的土地，不种玫瑰也可以种苍山与野菊，又怎么不算好风景。”歌词给我的感觉就是人生有无限的可能，不能被眼下琐碎的事情困住内耗自己。我偏要打破常规，做那个自由的人儿。,,,,肖恩嗯呐
40016,4401,“保持内心温柔和灵魂自由”，我也这样想,,,,心动周期不到一秒
40017,4401,“管它什么年纪 只要音乐不会暂停” 恋恋的音乐伴随我走过很多重要时刻,,,,吃吃吃宵夜_
40018,4401,“我们是自由的野火 不适合躺进火柴盒”第一次听的时候真的被这个火柴盒惊艳到了，怎么能想到火柴的火代表着自由的反面的。这一句的唱出了我向往的那种自由放荡无羁的感觉。,,,,风风风风晗
40019,4401,“管他什么天气，我说风就是雨”世界纷纷扰扰，我开心就好,,,,草稻
40020,4401,有很多～但最常提起的应该还是“祝我更加爱我”，因为觉得没有什么是比这件事更重要的！,,,,xue
40021,4401,“保持内心温柔 而灵魂自由” 其实就整首歌而言更喜欢的是管他什么和佳丽，但这句歌词在第一瞬间浮现了,,,,划
40022,4401,「如果可以我还是希望你在场」希望未来还能在场陪着恋恋好多好多年,,,,imyrella
40023,4401,若生命这东西总有点会失去，那不如就活个尽兴。其实每首歌都有喜欢的词，但这首是一开始听到就感受到了旺盛的生命力和那种肆意的自由，我没有但是很向往的东西,,,,L&J  
40024,4401,管他什么年纪 你要有你的脾气 管他什么规矩 你要有爱的勇气  恋从我初中陪伴到我现在要上大学 四年 我依旧很喜欢这句歌词 不管什么年纪 都要自由勇敢的做自己,,,,一只蛋挞
40025,4401,“你要的不是我，是幻想中的那一个” 因为觉得这句话时刻提醒我，要接受恋姐所有好坏，不能只靠自己想象力。,,,,Kims
40026,4401,“祝我寒路酒壶热，祝我长夜美梦多，祝我更加爱我”这是今年的第一句歌词，是我想给你也想给自己的祝福，这句话记录着一起触碰到饱满情绪然后潸然泪下的那个难忘的夜晚。,,,,人鱼
40027,4401,everything will be ok，感觉很多时候稍微放下就会everything will be ok了,,,,三三得九巨蟹
40028,4401,如果青春离场我也不再轻狂，如果可以我还是希望你在场。会一直支持刘恋，一直在场去看你的live,,,,小安娜琦
40029,4401,不必开花也叫茉莉 不必慈悲也算神明                       我的活法我自己说了算,,,,予寧冬
40030,4401,“当夏天退场时 你依然在场”因为…我认识她 喜欢她的那个夏天 已然永久退场 但未来的四季轮回 我都会永远在场！,,,,不署名的爱意
40031,4401,everything will be OK,,,,这是一个憨憨的号
40032,4401,"管他什么年纪，我躺着也很美丽
大概是文艺病作祟，又或者是年少无知，真的设想过如果三十岁还一事无成，不如就离开这个世界。第一次听到这首歌，惊叹怎么会有人和我一样的想法，了解之后觉得恋恋姐的生活是我理想中的那种，她展示了三十岁后也很精彩灿烂，人生无限可能，让我有勇气孤身一人去陌生城市工作，让我没有那么焦虑不安，不再惧怕三十岁",,,,拖延症小王
40033,4401,“祝我寒路酒壶热，祝我长夜美梦多，祝我更加爱我”每次听到这句都会有一种温暖到想哭，感觉我也能被人真心的祝福，我也被爱了，总之，谢谢你给了我们爱,,,,小笛子lldg
40034,4401,“坠落也是我的作品”。大概是因为这几年我一直在走下坡路不管是工作事业感情处处不顺(へ╮)这词有安慰到我，自洽了,,,,温开水
40035,4401,“每种道理都有反例，别提主义但没主意。”听完就是感觉人任何时候都要有主见吧。,,,,昀卿
40036,4401,"我想了好多，时间会等我，等你见到我，我慢慢和你说。
一见钟情。",,,,kiki
40037,4401,“当舞会散场时你依然在场，打着哈欠说要陪我到天亮”,,,,Cc
40038,4401,如果青春离场我也不再轻狂，如果可以我还是希望你在场。,,,,Yuanlizhinv_lian
40039,4401,“去星河码头整薯条一盒”喜欢这种无厘头但很有态度的感觉，就是要自由地享受世界！,,,,iFyyylx
40040,4401,不必开花也叫茉莉。感觉这句话特别有生命力,,,,阿熊
40041,4401,“口袋中，藏着我为你准备了半生的春风”很温柔又很俏皮，感觉春风拂面了，寒冷冬天终于过去！,,,,可以喝酒_
40042,4401,“还好我遇见你，不至于自己傻下去”嗯跟我自己生活有关吧，比较有感触,,,,wLAN丸
40043,4401,都很喜欢，选择了符合近期心境的歌词：我想打碎一片乌云，就当我能指挥暴雨。,,,,aoife
40044,4401,每种道理都有反例,,,,末日最后一只猫
40045,4401,天才恋爱博弈，势均力敌才够刺激。但其他的歌词也很喜欢，真的恋恋的每一首歌都好喜欢，但我还是最喜欢这句。,,,,Zest Quest Xenia
40046,4401,祝我更加爱我,,,,关东煮捞下
40047,4401,啊好难选，她的歌词全都是精品啊！但还是最爱生日歌的词（对不起真的没有“最”喜欢的一句）,,,,18hours_PEACHY 
40048,4401,“祝我寒路酒壶热 祝我长夜美梦多 祝我更加爱我”喜欢的词太多了 选这句是因为希望我们都能更爱自己,,,,玛卡jin424
40049,4401,天才恋爱博弈,,,,饭团团
40050,4401,好难回答的问题因为喜欢的歌词太多了。就选择在场的结尾“如果青春离场我也不再轻狂，如果可以我还是希望你在场”，因为每次听到在场都感觉我们还会陪彼此好久好久,,,,小羊要悄悄逃离这个失眠的世界啊
40051,4401,保持内心温柔，而灵魂自由！,,,,云里做梦219
40052,4401,若生命这东西总有天会失去，不如就活个尽兴,,,,"不如就活个尽兴
"
40053,4401,此刻有诗人在歌颂，死亡要更自由,,,,"土豆大王
"
40054,4401,祝我寒路酒壶热，祝我长夜美梦多,,,,vng
40055,4401,你认为的荒谬 都是我赖以生存的理由,,,,云在匆匆流淌
40056,4401,祝我更加爱我 人永远要拥有爱自己的能力这是我期望的,,,,Jia
