编号,场景,文案,图片url,音频url,视频url,用户id
41001,4B,和你分享我最喜欢的一句歌词：我最喜欢的一句歌词仍然是“以泥土的香气当作伴手礼，爬上通云霄的天梯”。,,,,
41002,4B,和你分享我最喜欢的一句歌词：“如果可以我还是希望你在场” 想到底看看未来刘恋的歌会不会石破天惊！所以要在场并等待结果。,,,,恰逢在场-
41003,4B,和你分享我最喜欢的一句歌词：“多么希望这一刻能够就此停留 既然无法停留别留恋别回头”,,,,0_Yuzz
41004,4B,和你分享我最喜欢的一句歌词：那些爱过我的人都慢慢退场  随手带走我们收藏的时光     当我经过了一些生离死别后，我才真正的读懂这句歌词，时光不是永恒的，但我们努力的去记忆美好的时刻，那么爱过我的人也依旧在我们身边,,,,燊一_
41005,4B,和你分享我最喜欢的一句歌词：“晚风会呢喃 古老的低语 庆祝我完整的命运”听到这句歌词的时候正处于人生低谷期 家庭变故加上备考压力 一度让我无力还手 但是这句歌词给了我面对的勇气和决心 “我偏要庆祝我的命运”,,,,敦敦是个小太阳
41006,4B,和你分享我最喜欢的一句歌词：“我肥沃的土地，不种玫瑰也可以种苍山和野菊”这句话恋恋在采访里也分享过，觉得是一句很有态度，在无奈的生活里也不要归训自己的一句话,,,,卡卡罗轩
41007,4B,和你分享我最喜欢的一句歌词：“日落之前，请你与我共舞。”我一直觉得在青春还在的时候畅想生命日薄西山时跳舞很浪漫，十个字我好像就看见了两个幸福的人的剪影和她们身后金色的夕阳??。这是一种特别刘恋的对生命自信，她好像永远相信自己会幸福，从灿烂的一死了之也不可惜的27岁到还在跳着舞的72岁，给人一种日子放在她手里过怎么都不会太差的安心感。每每听到这一句我都觉得好幸福。,,,,初霁之阳
41008,4B,和你分享我最喜欢的一句歌词：“我肥沃的土地，不种玫瑰也可以种苍山与野菊，又怎么不算好风景。”歌词给我的感觉就是人生有无限的可能，不能被眼下琐碎的事情困住内耗自己。我偏要打破常规，做那个自由的人儿。,,,,肖恩嗯呐
41009,4B,和你分享我最喜欢的一句歌词：“管它什么年纪 只要音乐不会暂停” 恋恋的音乐伴随我走过很多重要时刻,,,,吃吃吃宵夜_
41010,4B,和你分享我最喜欢的一句歌词：“我们是自由的野火 不适合躺进火柴盒”第一次听的时候真的被这个火柴盒惊艳到了，怎么能想到火柴的火代表着自由的反面的。这一句的唱出了我向往的那种自由放荡无羁的感觉。,,,,风风风风晗
41011,4B,和你分享我最喜欢的一句歌词：若生命这东西总有点会失去，那不如就活个尽兴。其实每首歌都有喜欢的词，但这首是一开始听到就感受到了旺盛的生命力和那种肆意的自由，我没有但是很向往的东西,,,,L&J??
41012,4B,和你分享我最喜欢的一句歌词：“祝我寒路酒壶热，祝我长夜美梦多，祝我更加爱我”这是今年的第一句歌词，是我想给你也想给自己的祝福，这句话记录着一起触碰到饱满情绪然后潸然泪下的那个难忘的夜晚。,,,,人鱼
41013,4B,和你分享我最喜欢的一句歌词：不必开花也叫茉莉 不必慈悲也算神明                       我的活法我自己说了算,,,,予寧冬
41014,4B,和你分享我最喜欢的一句歌词：管他什么年纪，我躺着也很美丽,,,,
41015,4B,和你分享我最喜欢的一句歌词：“坠落也是我的作品”。大概是因为这几年我一直在走下坡路？不管是工作事业感情处处不顺(??へ??╮)这词有安慰到我，自洽了？,,,,温开水
41016,4B,和你分享我最喜欢的一句歌词：“当舞会散场时你依然在场，打着哈欠说要陪我到天亮”,,,,Cc
41017,4B,梦一场演出：体育馆四面台，顶级舞美那种,,,,奇衡三
41018,4B,梦一场演出：一个大大的场地 我们坐在草坪上 她在上面唱 不插电的那种。最好在内蒙古大草原！,,,,恰逢在场-
41019,4B,梦一场演出：席地而坐 真正意义上的毫无界限的演出 人手一杯刘恋特调 看谁先喝趴谁,,,,0_Yuzz
41020,4B,梦一场演出：昨晚刚好梦到她的演出，像是一间九十年代的迪斯科舞厅，时间到了，大家都盯着舞台上的时候，她从侧面的幕布里走进人群中间，和我们一起跳疯狂的舞,,,,我的猫儿黄白身子金镶玉
41021,4B,梦一场演出：希望在刘恋家客厅 坐在柔软的地毯上 刘恋抱着吉他轻轻唱歌 桃桃躺在脚边微微打鼾 摇晃着香槟 度过一个美好且平静的夜晚,,,,敦敦是个小太阳
41022,4B,梦一场演出：刘恋一边唱歌一边做菜 唱一首歌做一道菜 大家必须吃完才能听下一首歌,,,,Salute
41023,4B,梦一场演出：希望既不是坐席也不是站席，所有人飘在空中舒舒服服地听她唱歌看她表演，而且都有票！,,,,初霁之阳
41024,4B,梦一场演出：我梦到过刘恋开了个四面台，但椅子全是那种沙发床，刘恋在台上又唱又跳，我们在台下又吃又喝,,,,吃吃吃宵夜_
41025,4B,梦一场演出：刘恋所以对舞台的设想全都可以实现，给孩子最好的条件！然后大家不用忙着用手机记录，可以和刘恋一起享受舞台享受音乐，再有一点互动的小游戏。比起演出，或许更像一个游乐园。,,,,风风风风晗
41026,4B,梦一场演出：一场不设限的演出，把刘恋所有的想法都落地的演出,,,,L&J??
41027,4B,梦一场演出：大约是睡衣派对主题？所有人围成一圈，躺在懒人沙发上，头顶是星空，远处是大海，恋恋想唱什么都可以，没有固定的演出流程和串词......,,,,人鱼
41028,4B,梦一场演出：她安安静静站在舞台中央，抱着吉他，声音温柔又坚定。所有人都在认真听她唱歌。,,,,小安娜琦
41029,4B,梦一场演出：真的做梦梦到过恋恋演出，一个小小的场地，哈哈哈哈哈哈那票应该超级难抢吧，我就坐在第一排，静静看着恋恋表演，她的所有舞美想法都完美实现，演出结束后还面对面收集演出感想，好近啊！,,,,拖延症小王
41030,4B,梦一场演出：首先开在我的城市福州。然后在海边，开那种从日落到日出的演出。搞点篝火，烟花，中场休息一起吃吃烧烤，整点海鲜大咖。刘恋唱累了让粉丝上去唱，跟KTV似的，相信恋丝们都老有才了，唱跳俱佳那种。十八也得上去唱一首，还有蚊子也要唱。海边大舞台，有胆你就来???,,,,温开水
41031,4B,许愿时间：南京/沈阳！！！,,,,
41032,4B,许愿时间：希望在日落之前的海边,,,,飞行器
41033,4B,许愿时间：很重要，一定要发给恋恋姐参考！,,,,
41034,4B,许愿时间：江浙沪吧！连开个十场！我保证满勤！,,,,敦敦是个小太阳
41035,4B,许愿时间：成都！（全国都巡一遍吧！,,,,小叽不哈气
41036,4B,许愿时间：江浙沪！（常州第一顺位）,,,,
41037,4B,许愿时间：看恋姐您在哪儿方便，如果可以，上海买房谢谢！,,,,划
41038,4B,许愿时间：沈阳！来东北玩！,,,,一只蛋挞
41039,4B,许愿时间：来常州/泰州,,,,小安娜琦
41040,4B,许愿时间：跪求北京！周末或者假期好吗（鸟巢在等你doge,,,,不署名的爱意
41041,4B,许愿时间：求求再来福州吧??每年巡演都要来福州哦姐姐！,,,,温开水
41042,4B,许愿时间：广州！广州！广州！,,,,Cc
