编号,场景,文案,图片url,音频url,视频url,用户id
20001,2201,学姐，你以后一定会成为一个很厉害的人的！或许你并不知道我是谁，但请你务必相信这句话，然后，到未来看看吧！,,,,悄悄很安静
20002,2201,能不能加个QQ,,,,奇衡三
20003,2201,能不能坐一学期同桌,,,,恰逢在场-
20004,2201,学姐，下个周末一块出去玩吗,,,,飞行器
20005,2201,搓麻将不打扑克也行,,,,0_Yuzz
20006,2201,我们可以做个朋友吗,,,,燊一_
20007,2201,学姐能教我数学不,,,,勤劳的猪啊
20008,2201,学姐好，推荐你一部动画片叫《狼雨》，音乐超好听！,,,,我的猫儿黄白身子金镶玉
20009,2201,学姐好美！能认识一下嘛~我的微信号是：xxxxxx…言归正传…学姐不要焦虑不要担心 你以后会过得很好很好 追你的人能排好几公里 你的演出座无虚席,,,,敦敦是个小太阳
20010,2201,学姐 耍朋友不,,,,Salute
20011,2201,姐姐你以后的人生会过得如你所愿，甚至更好的！,,,,卡卡罗轩
20012,2201,你很漂亮，你的日子会越过越漂亮！,,,,初霁之阳
20013,2201,学姐，未来会有很多人爱你！放心大胆的去做吧！,,,,小叽不哈气
20014,2201,想不出来哎..,,,,是馨鸭
20015,2201,"同学，总觉得你身上，
有种让人安心又耀眼的光。",,,,肖恩嗯呐
20016,2201,好想认识你,,,,心动周期不到一秒
20017,2201,学姐你数学好牛逼 求提分教程,,,,吃吃吃宵夜_
20018,2201,学姐我考试最后一道大题不会，你能教教我吗  ，请你喝奶茶,,,,风风风风晗
20019,2201,我能和你一起去小酒馆听歌一起去吃甜不辣吗,,,,草稻
20020,2201,不需要讨好也值得被爱,,,,xue
20021,2201,除去分数，你本身已经是很好的人，尽情选择你想要的未来吧，勇敢地体验美丽人生,,,,划
20022,2201,学姐我喜欢你！！,,,,imyrella
20023,2201,你未来很牛，有很多人爱你,,,,L&J  
20024,2201,恋！未来特别你会特别好 有很多人爱你 请放心大胆的前进吧！,,,,一只蛋挞
20025,2201,姐，加油。,,,,Kims
20026,2201,姐姐你好美！！！(小狗转圈) (叼着鲜花跑来) (小狗倒立) (欢快跑开) 下了晚自习回去吃不吃泡面,,,,人鱼
