编号,场景,文案,图片url,音频url,视频url,用户id
51001,5B,给2026年的刘恋：想把最近读到的一段话送给小恋:年轻的女士，愿你的人生硕果累累，没有任何东西将阴影投射其上！,,,,悄悄很安静
51002,5B,给2026年的刘恋：生日快乐 事事顺利顺心 要平安健康！,,,,恰逢在场-
51003,5B,给2026年的刘恋：祝姐生日快乐，也不止生日快乐！愿你有源源不断的灵感 愿你健康平安顺遂 愿你依旧是鲜活的热烈的真挚的 愿你仍有肆意爱与被爱的勇气,,,,0_Yuzz
51004,5B,给2026年的刘恋：原来已经认识这么久啦！生日快乐恋恋！希望你少一点烦恼，多一点圆满！希望你天天开心，做自己想做的事，成为自己想成为的人！你是自由的！,,,,敦敦是个小太阳
51005,5B,给2026年的刘恋：祝你快乐幸福不止生日，祝你依然是你，祝你永远相信自己、相信生命，请你相信永远会有人爱你。谢谢你让我们看见，舞台上见！????????????,,,,初霁之阳
51006,5B,给2026年的刘恋：生辰逢本命，岁岁皆胜意。愿你自在如风，热烈如光，被世界温柔偏爱。,,,,肖恩嗯呐
51007,5B,给2026年的刘恋：生日快乐恋姐，祝你继续健康自由地成为你想成为的人，发现你自己，成为你自己。书写一句有写一句的进益，唱一首有唱一首的欢喜。,,,,划
51008,5B,给2026年的刘恋：生日快乐 新一岁 祝你更自由 更快乐,,,,一只蛋挞
51009,5B,给2026年的刘恋：新的一岁，愿你永远有唱不完的歌、跳不完的舞、追不完的梦，,,,,
51010,5B,给2026年的刘恋：恋恋生日快乐！新的一岁 愿你被鲜花簇拥 看大海漫漫 热烈而坚定 自由且勇敢！本命年！一定会格外幸福顺利的～,,,,不署名的爱意
51011,5B,给2026年的刘恋：生日快乐！新的一岁仍然要身体健康哦，这是最重要的，毕竟我还等着70岁时去看八十岁的你演出。祝你可以做任何想做的事情，所有的想法都可以落地实现，灵感源源不断，新歌石破天惊，有更多正常人爱你，欣赏你的作品,,,,拖延症小王
51012,5B,给2026年的刘恋：时间过得真快！转眼又是一年0426，每年都期待这一天，虽说是你的生日，但总觉得每年你都在准备给我们的礼物，你咋这么好呢！希望新的一年小刘的事业顺顺顺！小刘的财运发发发！灵感之神一直眷顾小刘～当然最重要的是做一个健健康康，快快乐乐的小孩～,,,,温开水
51013,5B,给2030年的刘恋和我：40岁的悄悄很安静:你已经博士毕业十年了吧，现在在做什么工作呢？还和你爱且爱你的人在一起吗？还爱着小恋吗？无论怎么样，我相信你都是一个很厉害的人了，就像18岁的你看着此刻23岁的你一样。,,,,
51014,5B,给2030年的刘恋和我：你好40岁的刘恋和四年后的我自己 首先希望四年后的我依然在场 更希望不止未来四年 其次无论这四年里发生了什么 无论你现在做的怎样 希望我对你和你所有作品的热爱是不变的 希望那时的我有变得更好一点 能去再为你多做些什么,,,,0_Yuzz
51015,5B,给2030年的刘恋和我：希望40岁的刘恋已经举办了一百场巡演，写出了第十张个人专辑，桃桃还陪着刘恋，我们也还在听刘恋给我们唱歌；希望那时的自己不再需要为生活和工作感到担心，过上自己想要的生活，有随时出发的底气，有好好爱人的能力。,,,,敦敦是个小太阳
51016,5B,给2030年的刘恋和我：不必光芒万丈，不必始终耀眼，,,,,
51017,5B,给2030年的刘恋和我：40岁的刘恋在万人体育馆上唱歌，39岁的我在下面挥舞着荧光棒泪流满面,,,,L&J??
51018,5B,给2030年的刘恋和我：致40岁的刘恋：愿你依旧清醒温柔，写想写的歌，爱想爱的人，而我们自始至终都在场。,,,,小安娜琦
51019,5B,给2030年的刘恋和我：40岁的恋恋，应该已经出了四五张专辑了吧（没有催的意思，只是希望）有没有开上四面台，昂首挺胸走进梅奔，希望到时候我还能抢到票，在台下看着闪闪发光的大明星恋恋。不知道40岁的你还有没有熬夜，少熬点吧，我最近看中医说要十一点前睡比较好，为了身体别熬太晚了。那时候的我已经30岁了，曾经最害怕的年纪，不知道那时候在哪里工作，还在坚持自己吗？工作有没有晋升，有没有见恋恋更多次，不要随便妥协好吗？,,,,拖延症小王
51020,5B,给2030年的刘恋和我：40岁 也就是4年后 希望那时的刘恋依旧饱含着对音乐的热爱 永远自由 永远浪漫 平安 顺遂～也愿4年后的我 已然成功上岸 在自己喜欢的领域里 不惧风雨 不畏将来 坚定 自信地走下去！,,,,不署名的爱意
