编号,场景,文案,图片url,音频url,视频url,用户id
10001,1101,认识小恋当然是在《浪3》的初舞台，真正入坑是在B站云看了《枕边迷航》沈阳场，那大概是2023年3月吧。所以，这大概会是我陪小恋过的第4个生日啦。,,,,悄悄很安静
10002,1101,浪三初舞台被吸引，觉得这个女生好特别,,,,奇衡三
10003,1101,是因为刘恋是广告行业早就有所耳闻好奇看了相关的作品然后有得知参加了浪姐因此入坑。第四个生日了。,,,,恰逢在场-
10004,1101,在B站刷到浪三片段，感兴趣搜了一下以后入坑。今年是第四个生日了。,,,,飞行器
10005,1101,浪3初舞台入坑 觉得这个女人好特别！但其实乐夏1时就刷到过姐了… 已经是一起过的第4个生日了,,,,0_Yuzz
10006,1101,浪3 2022.6.14 刷抖音的时候看到00240 的切片垂直入坑了  今年是陪恋恋的第4年！,,,,燊一_
10007,1101,第四个生日吧 其实浪三的时候抖音就有刷到过姐的相关内容 当时觉得她太厉害了吧 但也没去看浪三 后边看乐海突然之间被“可可爱爱”的她吸引住了唱歌还好听 乐海播完后 刚好大湾区有枕边迷航的巡演 我说我倒要看看此女的真身到底有什么魔力 看完之后我只能说 没有人会在看过刘恋的现场后而不爱她  更爱她了 ,,,,勤劳的猪啊
10008,1101,因为在B站看了组合的「卡祖笛测评」对刘恋和她的声带产生浓厚兴趣，后续听了不少组合的歌和翻唱，看到她要上浪三，于是才打开了这季综艺。这样算起来，是第五个生日了诶……,,,,我的猫儿黄白身子金镶玉
10009,1101,入坑应该是浪三舞台首秀《在你的婚礼我多喝了两杯》 那会儿觉得 哇塞 这个女孩儿 好厉害 这个歌曲风格好牛 时间好快 这已经是陪刘恋过的第四个生日啦,,,,敦敦是个小太阳
10010,1101,"浪三的初舞台和分配花朵选歌 好有魅力  
第四个",,,,Salute
10011,1101,是因为浪三的梦中人！回看多少遍也觉得是很优秀的一个舞台！其实一公选歌的总监皮也很帅，初舞台也留下很深刻的印象～当时已经埋下喜欢的种子啦。已经是第四个生日了,,,,卡卡罗轩
10012,1101,乐夏1就对这个穿红色格子裙安安静静坐在男人居多的乐手席里的姐姐有印象，入坑是浪3，正好是我高三毕业那一年的夏天，世界和刘恋一起出现在我面前，我都无法拒绝。今年是第四年了，连我自己也惊讶于我竟然还在为刘恋这个名字感到幸福。,,,,初霁之阳
10013,1101,枕边迷航巡演 一起过的第四个生日了！！,,,,小叽不哈气
10014,1101,当然是浪3的初舞台，怎么会有人在这么短的时间内有一段这么完整的表演呢虽然表演的乐器种类很多，但是又一点都不突兀，每个表情，甚至感觉嘴角笑的弧度都是精准的，牛，实在是太牛了，虽然已经浪7了，这个初舞台在我心里还是TOP1。第四个生日，真好，哎呀，感觉你还是32呢！！,,,,是馨鸭
10015,1101,最开始是因为浪3，姐的初舞台也太惊艳了。简直是多才多艺。后来因为Mr.Miss枕边迷航昆明站巡演，见到恋姐本人，就被姐迷住了。这是陪恋恋过的第4个生日。,,,,肖恩嗯呐
10016,1101,浪3初舞台，到今天有1400多天了，第4个生日。,,,,心动周期不到一秒
10017,1101,一公雾里 “活的像位神明”和后边的那段高音，特别有舞台表现力的一段！ 已经是一起过的第四个生日了！,,,,吃吃吃宵夜_
10018,1101,"浪姐的初舞台。印象很深的是她跳了一级台阶，然后走上了舞台，当时就觉得这个女孩特别可爱，没想到初舞台那么有魅力。越看越喜欢就完全入坑了。
这是第二个生日。因为刚开始的时候还不知道微博，没能陪她过之前的生日。",,,,风风风风晗
10019,1101,b站姐姐唱管它什么，第四个了,,,,草稻
10020,1101,看浪姐的突袭训练室入坑的，这是第四个生日了,,,,xue
10021,1101,好巧啊，偏偏那段时间我在打游戏，然后一个叫三个王者带一个青铜的视频就出现在了首页，虽然没有点进去但命运般地留下了印象。然后就是刷到浪三初舞台，是我理想的一种表演形式。最后是绿光，很让人眼前blingbling的进步。第四个生日了，在努力离永恒近一些。,,,,划
10022,1101,乐夏3一眼被恋恋的台风和音色惊艳...陪恋恋过的第三个生日～,,,,imyrella
10023,1101,浪姐入坑，这是第四个生日了，时间过的好快,,,,L&J  
10024,1101,看浪三00240垂直入坑 恋智性恋天菜来的 第三个生日,,,,一只蛋挞
10025,1101,看浪姐三，初舞台的歌很精彩。从2023到2026，是第四年生日。,,,,Kims
10026,1101,浪姐时期开始有好感结果体验了一把“失去了才懂得珍惜”╥﹏╥，接着越看越喜欢，23年春天终于见面了，今年是第四个生日~,,,,人鱼
10027,1101,因为刷到切片说恋恋是北大考古系的，然后去考古发现是一个特别特别可爱的小朋友，这应该是第五个生日了,,,,三三得九巨蟹
10028,1101,浪姐，第一次见面是枕边迷航巡演，这是陪姐过第四个生日,,,,小安娜琦
10029,1101,乐夏1 即兴作歌怼人名场面  第3个生日,,,,予寧冬
10030,1101,浪三一公选歌！好聪慧但命苦的军师ww 已经第五个生日哩,,,,不署名的爱意
10031,1101,浪三时期，刷着刷着视频就沦陷了；第四个生日了！,,,,这是一个憨憨的号
10032,1101,"浪三的舞台魅力，真正决定入坑的是《管他什么》这首歌，第一次认识到原来歌词也是力量的，原来音乐真的会听哭
陪恋恋过的第四个生日啦！还要一起过好多个生日",,,,拖延症小王
10033,1101,浪3初舞台～第五个生日啦,,,,小笛子lldg
10034,1101,刘恋被淘汰的时候对PD说：你能夸夸我吗。不知道啊，听完心软的一塌糊涂了我就入坑了。这是我陪刘恋度过的第4个生日！但很可惜，一场生日专场都没看过，我的错，我大错特错！,,,,温开水
10035,1101,在b站刷到了乐队的海边的唱歌视频，光速入坑，然后发现早在乐队的夏天已经认识。今年是第四个生日了。,,,,昀卿
10036,1101,"《乐队的海边》
第4个生日了",,,,kiki
10037,1101,浪三《雾里》今年是陪刘恋过的第4个生日了,,,,Cc
10038,1101,浪三初舞台就入坑啦，这是陪姐过的第四个生日,,,,Yuanlizhinv_lian
10039,1101,奇谈巡演，如此牛的现场我瞬间入坑，后悔没有早点认识,,,,iFyyylx
10040,1101,浪三初舞台吧！这是第四个生日啦！,,,,阿熊
10041,1101,因为恋恋当时在小红书偷俪俪的金币，和舞台上的御姐感很有反差。这是第四个生日。,,,,可以喝酒_
10042,1101,因为乐海；第三个生日,,,,wLAN丸
10043,1101,乘风破浪入坑，乐海深陷。快要第四个年头。,,,,aoife
